Date,Open,High,Low,Close,Adj Close,Volume,Day of Week,Change
5/21/2015,28,28.74,24.110001,25.68,25.68,12303900,5,0.690588235
5/22/2015,26.07,31.1,26,28.309999,28.309999,2841200,6,0.21105919
5/26/2015,29.799999,30.34,29.08,29.65,29.65,820200,3,0.071706149
5/27/2015,30.67,30.809999,27,27.5,27.5,797600,4,0.039123069
5/28/2015,27.549999,27.74,26.48,27.450001,27.450001,400000,5,0.008727273
5/29/2015,27.25,27.379999,26.870001,27.200001,27.200001,255400,6,-0.002550164
6/1/2015,27.200001,27.440001,26.6,27.33,27.33,256900,2,0.008823529
6/2/2015,27.469999,27.469999,26.65,26.950001,26.950001,379800,3,0.005122539
6/3/2015,26.76,27.5,26.5,27.440001,27.440001,302400,4,0.020408125
6/4/2015,27.42,27.49,25.51,26.780001,26.780001,322600,5,0.001822121
6/5/2015,26.66,27.389999,26.1,27.389999,27.389999,129400,6,0.022778117
6/8/2015,26.9,27.48,26.82,26.98,26.98,280900,2,0.003285907
6/9/2015,26.639999,28.459999,26.639999,28.34,28.34,337500,3,0.054855411
6/10/2015,28.450001,28.879999,27.950001,28.1,28.1,273400,4,0.019054305
6/11/2015,28.49,30.73,28.49,30.73,30.73,460600,5,0.093594306
6/12/2015,31.32,33.700001,31.25,33.630001,33.630001,847400,6,0.096648259
6/15/2015,33.970001,38.119999,32.919998,35.5,35.5,1694300,2,0.133511682
6/16/2015,36.060001,38.379002,35.84,38.110001,38.110001,1109500,3,0.081098648
6/17/2015,39.630001,42.130001,38.009998,38.630001,38.630001,1595200,4,0.105484122
6/18/2015,38.419998,38.889999,34.326,35.549999,35.549999,1148200,5,0.006730468
6/19/2015,36.330002,36.740002,32.549999,35.52,35.52,979700,6,0.033474066
6/22/2015,36.759998,38.5,36.09,36.939999,36.939999,792200,2,0.083896396
6/23/2015,37.75,38.099998,35.169998,35.43,35.43,293900,3,0.031402248
6/24/2015,35.119999,37.429001,34.139999,35.959999,35.959999,564400,4,0.05642114
6/25/2015,36.34,36.5,34.799999,34.84,34.84,208200,5,0.015016713
6/26/2015,34.869999,35.32,32.630001,33.52,33.52,346500,6,0.013777268
6/29/2015,32.52,33.509998,31.200001,31.32,31.32,315500,2,-0.000298389
6/30/2015,31.5,34.439999,31.5,33.950001,33.950001,473300,3,0.099616826
7/1/2015,34.029999,34.970001,29.879999,31.110001,31.110001,1012600,4,0.030044182
7/2/2015,31.51,31.73,30.620001,31.309999,31.309999,303200,5,0.01992925
7/6/2015,31.07,31.74,30.379999,30.530001,30.530001,149300,2,0.013733664
7/7/2015,30.469999,30.83,28.5,30.76,30.76,348900,3,0.009826367
7/8/2015,30.02,30.360001,29.030001,29.190001,29.190001,186900,4,-0.013003869
7/9/2015,29.73,30.379999,28.799999,29.059999,29.059999,249100,5,0.040767316
7/10/2015,29.32,30.290001,29.1,29.6,29.6,280500,6,0.042326292
7/13/2015,29.85,30.99,29.76,30.42,30.42,220100,2,0.046959459
7/14/2015,30.780001,31.327,30.5,30.860001,30.860001,145500,3,0.029815911
7/15/2015,30.889999,31.01,28.91,29.34,29.34,357000,4,0.004860628
7/16/2015,29.059999,29.870001,28.931,29.389999,29.389999,148200,5,0.01806411
7/17/2015,29.32,32.349998,29.15,32.27,32.27,1619800,6,0.100714498
7/20/2015,32.369999,33.93,31.641001,33.75,33.75,414000,2,0.051440967
7/21/2015,33.950001,34.66,32.09,33.220001,33.220001,414800,3,0.026962963
7/22/2015,32.990002,33.490002,31.360001,32.139999,32.139999,255600,4,0.008127664
7/23/2015,32.59,34.43,32.580002,33.110001,33.110001,265500,5,0.071250811
7/24/2015,33.450001,34.75,33.240002,33.57,33.57,357700,6,0.049531832
7/27/2015,33.400002,33.950001,32.049999,32.869999,32.869999,200500,2,0.01131966
7/28/2015,33.5,34.48,32.830002,34.060001,34.060001,174600,3,0.048980865
7/29/2015,34.099998,34.849998,33.200001,34.16,34.16,200800,4,0.023194274
7/30/2015,38.654999,40.25,37.009998,38.130001,38.130001,1162200,5,0.178278689
7/31/2015,38.130001,38.25,36.349998,37.389999,37.389999,525800,6,0.003147102
8/3/2015,37.490002,40.490002,36.599998,40.360001,40.360001,535100,2,0.082909951
8/4/2015,40.110001,41.110001,38.130001,38.41,38.41,572500,3,0.018582755
8/5/2015,39.02,39.970001,38.16,38.450001,38.450001,291100,4,0.040614449
8/6/2015,38.400002,38.75,35.200001,36.279999,36.279999,382700,5,0.007802314
8/7/2015,36.27,36.27,34.25,35.16,35.16,321500,6,-0.000275606
8/10/2015,35.299999,36.139999,32.869999,33.470001,33.470001,479900,2,0.027872554
8/11/2015,33.66,35.59,32.964001,35.139999,35.139999,269300,3,0.063340273
8/12/2015,34.849998,35.209999,33.75,34.73,34.73,236900,4,0.001992032
8/13/2015,34.790001,36.490002,34.509998,35.310001,35.310001,225900,5,0.050676706
8/14/2015,35,35.75,34.09,34.560001,34.560001,143700,6,0.012461031
8/17/2015,34.77,35,33.299999,34.41,34.41,162300,2,0.012731452
8/18/2015,34.18,34.18,32.48,32.599998,32.599998,187000,3,-0.006684103
8/19/2015,32.369999,32.470001,30.6,31.1,31.1,444700,4,-0.003987638
8/20/2015,30.76,31.1,29.15,29.219999,29.219999,269600,5,0
8/21/2015,28.75,29.969999,27.309999,27.77,27.77,404200,6,0.025667352
8/24/2015,25.51,28.49,22.700001,26.280001,26.280001,427100,2,0.02592726
8/25/2015,28.290001,29.780001,26.85,26.93,26.93,304300,3,0.133181121
8/26/2015,28.5,28.57,26.299999,28.219999,28.219999,390100,4,0.060898626
8/27/2015,28.940001,29.6,27.799999,28.51,28.51,268200,5,0.048901525
8/28/2015,28.360001,29.007999,27.719999,28,28,137000,6,0.01746752
8/31/2015,28.139999,28.77,27.09,27.540001,27.540001,130500,2,0.0275
9/1/2015,27.290001,27.290001,26.389999,26.6,26.6,130100,3,-0.009077705
9/2/2015,26.73,27.549,26.059999,26.700001,26.700001,167000,4,0.035676692
9/3/2015,26.559999,28,26.51,27.15,27.15,132500,5,0.048689099
9/4/2015,26.98,27.23,26.370001,26.809999,26.809999,129100,6,0.002946593
9/8/2015,27.030001,27.645,26.745001,27.139999,27.139999,107400,3,0.031145134
9/9/2015,27.9,28.51,25.889999,26.01,26.01,320400,4,0.050479036
9/10/2015,26.049999,26.474001,25.58,25.77,25.77,139100,5,0.017839331
9/11/2015,25.549999,26.469999,25.549999,26.360001,26.360001,187400,6,0.027163329
9/14/2015,26.27,27.26,26.01,27.209999,27.209999,220900,2,0.034142601
9/15/2015,27.139999,28.459999,27.1,28.110001,28.110001,251100,3,0.045938995
9/16/2015,28.129999,29.26,28.040001,28.91,28.91,133100,4,0.040910671
9/17/2015,29.889999,37.950001,29.85,35.549999,35.549999,2112300,5,0.312694604
9/18/2015,35.724998,37.470001,34.52,35.66,35.66,786700,6,0.054008497
9/21/2015,35.700001,37,34.75,34.830002,34.830002,393500,2,0.037577117
9/22/2015,34.5,34.5,32.810001,33.66,33.66,332700,3,-0.009474648
9/23/2015,33.529999,34.669998,32.830002,33.5,33.5,340000,4,0.030005882
9/24/2015,32.98,34.09,32.09,33.470001,33.470001,244600,5,0.01761194
9/25/2015,33.849998,35.639999,33.119999,33.91,33.91,355200,6,0.064834118
9/28/2015,33.639999,33.966999,32.5,33.049999,33.049999,204900,2,0.001680891
9/29/2015,32.41,33.985001,32.41,33.639999,33.639999,221300,3,0.02829053
9/30/2015,35.689999,35.764999,33.66,35.200001,35.200001,299900,4,0.063168848
10/1/2015,35.369999,35.75,33.73,35.07,35.07,248000,5,0.015624971
10/2/2015,34.650002,36.099998,34.189999,35.810001,35.810001,236600,6,0.029369775
10/5/2015,36.049999,39.290001,36.049999,36.759998,36.759998,664400,2,0.097179556
10/6/2015,36.720001,37.419998,35.009998,36.209999,36.209999,280900,3,0.017954299
10/7/2015,36.009998,37.369999,35.902,37.330002,37.330002,236300,4,0.03203535
10/8/2015,37.209999,39,36.450001,38.240002,38.240002,472000,5,0.044736081
10/9/2015,38.400002,38.872002,36.599998,37.02,37.02,164000,6,0.016527196
10/12/2015,37.040001,37.341999,30.5,34.310001,34.310001,819400,2,0.008697974
10/13/2015,34.970001,35.599998,33.060001,33.119999,33.119999,191200,3,0.037598279
10/14/2015,33.490002,34.5,32.235001,33.639999,33.639999,294700,4,0.041666698
10/15/2015,33.639999,34.419998,33.200001,34.139999,34.139999,262600,5,0.023186653
10/16/2015,34.509998,34.59,33.400002,34.330002,34.330002,269000,6,0.013181049
10/19/2015,34.279999,34.889999,33.110001,33.360001,33.360001,295800,2,0.016312175
10/20/2015,33.439999,33.529999,31.190001,31.5,31.5,284700,3,0.005095863
10/21/2015,31.540001,32.540001,31.32,31.950001,31.950001,153400,4,0.033015905
10/22/2015,32.27,32.450001,31.709999,32.009998,32.009998,229300,5,0.015649452
10/23/2015,31.98,32.433998,31.09,31.66,31.66,199800,6,0.013245861
10/26/2015,31.66,31.75,30.76,31.07,31.07,108000,2,0.002842704
10/27/2015,30.68,31.040001,29.719999,31.040001,31.040001,296200,3,-0.000965529
10/28/2015,30.620001,31.24,30.26,31.120001,31.120001,109100,4,0.006443267
10/29/2015,30.82,32.02,30.110001,31.59,31.59,159600,5,0.028920275
10/30/2015,31.49,32.490002,31,32.220001,32.220001,260700,6,0.028490092
11/2/2015,32.360001,33.619999,30.91,30.959999,30.959999,302000,2,0.043451209
11/3/2015,31.049999,31.75,29.639999,31.440001,31.440001,554000,3,0.025516829
11/4/2015,33.73,33.93,29.629999,31.75,31.75,963700,4,0.079198439
11/5/2015,32.509998,33.540001,31.35,31.620001,31.620001,563600,5,0.056377984
11/6/2015,31.6,32.41,31.49,31.540001,31.540001,401800,6,0.024984155
11/9/2015,31.629999,31.639999,29.74,30.23,30.23,299200,2,0.003170514
11/10/2015,30.1,30.450001,28.200001,28.59,28.59,344500,3,0.007277572
11/11/2015,28.83,29,27.700001,28.18,28.18,310800,4,0.014340679
11/12/2015,28,29.889999,27.58,28.860001,28.860001,540800,5,0.060681299
11/13/2015,28.93,30,28.17,28.33,28.33,368800,6,0.039501003
11/16/2015,28.26,28.629999,26.379999,27.35,27.35,729200,2,0.010589446
11/17/2015,26.5,27,25.530001,26.389999,26.389999,2604100,3,-0.012797075
11/18/2015,26.870001,28,26.5,28,28,1907400,4,0.061007998
11/19/2015,28,29.719999,27.84,29.450001,29.450001,1233700,5,0.061428536
11/20/2015,29.5,29.6,27.719999,28.23,28.23,884200,6,0.005093344
11/23/2015,28.15,29,27.861,28.870001,28.870001,386300,2,0.027275948
11/24/2015,28.459999,28.459999,26.809999,26.950001,26.950001,1192600,3,-0.014201662
11/25/2015,27.25,27.677999,26.26,26.440001,26.440001,934000,4,0.027012912
11/27/2015,26.799999,26.98,26.299999,26.709999,26.709999,314100,6,0.020423562
11/30/2015,26.9,26.959999,26.219999,26.34,26.34,509800,2,0.009359791
12/1/2015,26.18,26.700001,26.18,26.280001,26.280001,433000,3,0.013667464
12/2/2015,26.32,26.57,25.799999,26.41,26.41,385500,4,0.011034969
12/3/2015,26.5,26.879999,26.129999,26.83,26.83,613700,5,0.017796251
12/4/2015,26.85,27.4,26.540001,27.120001,27.120001,629300,6,0.021244875
12/7/2015,26.629999,27.15,26.540001,26.879999,26.879999,616200,2,0.001106158
12/8/2015,26.4,26.790001,26.040001,26.48,26.48,473200,3,-0.00334814
12/9/2015,26.280001,26.280001,24.42,24.809999,24.809999,938300,4,-0.007552832
12/10/2015,24.809999,25.205,24.549999,24.959999,24.959999,564800,5,0.015921041
12/11/2015,24.629999,25.280001,24.540001,24.76,24.76,191200,6,0.012820593
12/14/2015,24.629999,25,24.16,24.559999,24.559999,290200,2,0.009693053
12/15/2015,24.49,25.57,24.4,25.360001,25.360001,526600,3,0.041123821
12/16/2015,25.5,26.360001,25.290001,26.209999,26.209999,610100,4,0.039432175
12/17/2015,26.290001,26.799999,26.16,26.530001,26.530001,373700,5,0.022510493
12/18/2015,26.17,26.370001,25.309999,25.309999,25.309999,353100,6,-0.006030908
12/21/2015,25.5,25.74,24.059999,24.450001,24.450001,272900,2,0.016989372
12/22/2015,24.5,24.83,24.222,24.66,24.66,183800,3,0.015541881
12/23/2015,24.690001,25.290001,24.57,24.92,24.92,141800,4,0.025547486
12/24/2015,24.940001,25.450001,24.93,25.34,25.34,103900,5,0.021268098
12/28/2015,25.27,25.459999,24.76,24.84,24.84,112500,2,0.004735556
12/29/2015,25.01,25.68,24.881001,25.18,25.18,184600,3,0.033816425
12/30/2015,25.120001,26.559999,25.120001,25.98,25.98,242900,4,0.054805361
12/31/2015,25.85,26.200001,25.219999,25.799999,25.799999,234900,5,0.008468091
1/4/2016,25.42,25.834999,24.52,25.719999,25.719999,601800,2,0.001356589
1/5/2016,25.5,26.5,25.26,25.309999,25.309999,418200,3,0.030326634
1/6/2016,24.950001,25.34,24.18,25.299999,25.299999,256600,4,0.001185342
1/7/2016,25,25.58,24.629999,24.67,24.67,416000,5,0.011067234
1/8/2016,25,25.370001,24.700001,24.93,24.93,137400,6,0.028374585
1/11/2016,24.950001,25.030001,23.530001,23.870001,23.870001,294500,2,0.004011272
1/12/2016,24.15,24.719999,23.41,23.74,23.74,369800,3,0.035609466
1/13/2016,23.73,23.924999,21.25,21.379999,21.379999,510500,4,0.007792713
1/14/2016,21.440001,21.440001,19.85,20.639999,20.639999,813700,5,0.002806455
1/15/2016,20.24,20.24,18.48,19.889999,19.889999,921200,6,-0.019379797
1/19/2016,21.43,21.549999,20.18,20.299999,20.299999,883500,3,0.083459029
1/20/2016,20,20.950001,18.610001,20.530001,20.530001,502600,4,0.032019805
1/21/2016,20.93,23.4,20.559999,22.790001,22.790001,1102800,5,0.139795366
1/22/2016,23.469999,23.709999,22.639999,23.07,23.07,782000,6,0.040368493
1/25/2016,23.129999,23.68,22.66,23.129999,23.129999,338000,2,0.026441266
1/26/2016,23.440001,23.51,22.385,23.09,23.09,175600,3,0.016428924
1/27/2016,22.92,23.24,22,22,22,289000,4,0.006496319
1/28/2016,22.27,22.9,22.01,22.5,22.5,315300,5,0.040909091
1/29/2016,22.49,23.299999,22.370001,23.219999,23.219999,538400,6,0.035555511
2/1/2016,23.26,23.709999,22.860001,23.530001,23.530001,373400,2,0.021102499
2/2/2016,23.27,23.514999,22.190001,22.620001,22.620001,538700,3,-0.000637569
2/3/2016,22.889999,23.030001,21.719999,23,23,555800,4,0.018125552
2/4/2016,22.860001,23.790001,22.809999,23.48,23.48,363700,5,0.03434787
2/5/2016,23.33,23.434999,21.27,21.870001,21.870001,1391800,6,-0.001916567
2/8/2016,21.52,21.75,19.92,20.379999,20.379999,623700,2,-0.005487014
2/9/2016,20.32,21.030001,19.690001,19.85,19.85,392700,3,0.031894113
2/10/2016,20.01,20.57,19.844999,19.969999,19.969999,160200,4,0.03627204
2/11/2016,19.5,19.99,18.9,19.370001,19.370001,212600,5,0.001001552
2/12/2016,19.389999,19.85,18.58,19.33,19.33,495200,6,0.024780536
2/16/2016,20.540001,21.42,19.82,20.5,20.5,1185100,3,0.10812209
2/17/2016,24.290001,24.809999,21.639999,22.370001,22.370001,3491400,4,0.210243854
2/18/2016,22.99,23.17,20.549999,20.59,20.59,1458500,5,0.035762135
2/19/2016,20.219999,20.75,19.84,20.57,20.57,638600,6,0.007770763
2/22/2016,20.799999,21.389999,20.610001,21.209999,21.209999,764000,2,0.039863831
2/23/2016,21.059999,21.370001,19.51,20.040001,20.040001,1305800,3,0.007543706
2/24/2016,19.77,21.190001,19.68,21.02,21.02,971500,4,0.057385227
2/25/2016,21.33,21.83,20.77,21.66,21.66,1271500,5,0.038534729
2/26/2016,21.690001,22.120001,21.32,22,22,1106200,6,0.02123735
2/29/2016,22.030001,22.9,21.9,22.379999,22.379999,648100,2,0.040909091
3/1/2016,22.67,22.870001,22.01,22.690001,22.690001,692700,3,0.021894639
3/2/2016,22.639999,24.440001,22.469999,24.360001,24.360001,1495800,4,0.077126484
3/3/2016,24.360001,25.709999,23.674999,24.27,24.27,1210500,5,0.055418635
3/4/2016,24.51,25.5,24.4,25.16,25.16,877200,6,0.050679852
3/7/2016,25,25.91,24.77,25.870001,25.870001,861900,2,0.029809221
3/8/2016,26.209999,26.99,25.950001,26.790001,26.790001,1348200,3,0.04329335
3/9/2016,26.91,26.91,26.02,26.07,26.07,949900,4,0.004479246
3/10/2016,26.43,26.450001,25.309999,25.389999,25.389999,490600,5,0.01457618
3/11/2016,25.75,26.77,25.639999,26.700001,26.700001,634700,6,0.054352149
3/14/2016,26.93,27,26.25,26.58,26.58,215000,2,0.011235917
3/15/2016,26.35,26.454,25.656,25.83,25.83,269300,3,-0.004740406
3/16/2016,25.84,26.950001,25.57,26.799999,26.799999,401000,4,0.043360472
3/17/2016,26.889999,27.24,26.559999,27.15,27.15,560800,5,0.016417948
3/18/2016,28.09,28.780001,27.52,28.49,28.49,1456300,6,0.060036869
3/21/2016,28.48,28.629999,27.65,28.040001,28.040001,408200,2,0.00491397
3/22/2016,27.76,28.139999,27.059999,27.51,27.51,668200,3,0.003566262
3/23/2016,27.280001,27.59,26.09,26.200001,26.200001,381600,4,0.002908033
3/24/2016,27.5,27.780001,26.120001,26.99,26.99,682300,5,0.060305341
3/28/2016,27.68,27.809999,26.879999,27.59,27.59,544400,2,0.030381586
3/29/2016,27.530001,28.08,27.35,27.969999,27.969999,403000,3,0.017760058
3/30/2016,28.25,28.620001,27.74,27.77,27.77,544100,4,0.023239257
3/31/2016,27.959999,28.599001,27.959999,28.209999,28.209999,531100,5,0.029852395
4/1/2016,27.879999,28.67,27.565001,28.450001,28.450001,652800,6,0.01630631
4/4/2016,29.02,29.989,28.75,29.299999,29.299999,1619700,2,0.054094866
4/5/2016,29.24,29.24,28.639999,28.75,28.75,558700,3,-0.002047748
4/6/2016,28.83,29.74,28.780001,29.5,29.5,493800,4,0.034434783
4/7/2016,29.469999,29.690001,28.941,29.209999,29.209999,320300,5,0.006440712
4/8/2016,29.42,30,29.24,29.549999,29.549999,443400,6,0.027045568
4/11/2016,29.940001,30.01,29.5,29.52,29.52,568600,2,0.01556687
4/12/2016,29.5,30.09,29.280001,29.77,29.77,408000,3,0.019308943
4/13/2016,29.959999,30.280001,29.75,29.799999,29.799999,494900,4,0.017131374
4/14/2016,30.27,30.99,29.85,30.959999,30.959999,626000,5,0.039932921
4/15/2016,31.02,31.09,30.549999,30.969999,30.969999,290400,6,0.004198999
4/18/2016,31.07,31.950001,30.23,31.530001,31.530001,620800,2,0.031643592
4/19/2016,31.93,32.389999,31.5,32.049999,32.049999,483800,3,0.027275546
4/20/2016,32.259998,32.310001,31.5,31.5,31.5,442100,4,0.008112387
4/21/2016,31.65,31.959999,31.35,31.530001,31.530001,262900,5,0.014603143
4/22/2016,31.530001,31.99,31.200001,31.809999,31.809999,224200,6,0.014589248
4/25/2016,31.9,31.988001,30.799999,31.129999,31.129999,325800,2,0.005595788
4/26/2016,31.389999,31.59,30.889999,31.469999,31.469999,216700,3,0.014776775
4/27/2016,31.49,32,31.25,31.83,31.83,240700,4,0.016841469
4/28/2016,32.060001,32.099998,31.49,31.75,31.75,282500,5,0.008482501
4/29/2016,31.860001,32.279999,31.65,31.85,31.85,365200,6,0.016692882
5/2/2016,31.879999,31.879999,30.82,31.41,31.41,506300,2,0.000941884
